,purpose,avg_rate
0,car,13.638571428571428
1,credit_card,12.142888888888887
2,debt_consolidation,12.86431192660551
3,home_improvement,15.345999999999998
4,house,17.27
5,major_purchase,10.941666666666668
6,medical,10.636666666666665
7,moving,9.91
8,other,13.26818181818182
9,small_business,13.323000000000002
10,vacation,12.42
11,wedding,7.9
